class,support,precision,recall,f1
Rhipidura leucophrys,20,0.59375,0.95,0.7307692307692307
Rhipidura albiscapa,20,0.782608695652174,0.9,0.8372093023255814
Acanthorhynchus tenuirostris,20,0.782608695652174,0.9,0.8372093023255814
Anhinga novaehollandiae,9,1.0,0.7777777777777778,0.875
Fulica atra,14,1.0,0.7857142857142857,0.88
Colluricincla harmonica,20,0.8,1.0,0.8888888888888888
Vanellus miles,20,1.0,0.8,0.8888888888888888
Philemon citreogularis,20,0.8,1.0,0.8888888888888888
Lalage leucomela,20,0.9444444444444444,0.85,0.8947368421052632
sheowl,20,0.9,0.9,0.9
Haliastur sphenurus,20,0.9,0.9,0.9
Chenonetta jubata,15,0.875,0.9333333333333333,0.9032258064516129
Spilopelia chinensis,10,0.8333333333333334,1.0,0.9090909090909091
Falcunculus frontatus,13,1.0,0.8461538461538461,0.9166666666666666
Megapodius reinwardt,13,1.0,0.8461538461538461,0.9166666666666666
Melithreptus brevirostris,20,1.0,0.85,0.918918918918919
Eurystomus orientalis,20,1.0,0.85,0.918918918918919
Phaps elegans,20,1.0,0.85,0.918918918918919
Acanthiza chrysorrhoa,20,0.9473684210526315,0.9,0.9230769230769231
Parvipsitta pusilla,20,0.9473684210526315,0.9,0.9230769230769231
jabwar,20,0.9473684210526315,0.9,0.9230769230769231
Acanthiza pusilla,20,0.9473684210526315,0.9,0.9230769230769231
Cormobates leucophaea,20,0.9047619047619048,0.95,0.926829268292683
brant,20,0.9047619047619048,0.95,0.926829268292683
Manorina melanophrys,20,0.8695652173913043,1.0,0.9302325581395349
Conopophila albogularis,20,0.8695652173913043,1.0,0.9302325581395349
Acanthiza reguloides,20,0.8695652173913043,1.0,0.9302325581395349
Neophema pulchella,8,1.0,0.875,0.9333333333333333
Entomyzon cyanotis,8,1.0,0.875,0.9333333333333333
Coracina papuensis,8,1.0,0.875,0.9333333333333333
Artamus superciliosus,16,0.9375,0.9375,0.9375
Climacteris picumnus,18,1.0,0.8888888888888888,0.9411764705882353
Chlamydera nuchalis,18,1.0,0.8888888888888888,0.9411764705882353
Falco berigora,20,1.0,0.9,0.9473684210526315
Eurostopodus argus,10,1.0,0.9,0.9473684210526315
Capra Hircus,20,1.0,0.9,0.9473684210526315
Microeca flavigaster,20,1.0,0.9,0.9473684210526315
Petroica phoenicea,20,1.0,0.9,0.9473684210526315
Anthochaera phrygia,20,1.0,0.9,0.9473684210526315
Daphoenositta chrysoptera,20,1.0,0.9,0.9473684210526315
Philemon corniculatus,20,0.95,0.95,0.95
Eurostopodus mystacalis,20,0.95,0.95,0.95
Sus Scrofa,20,0.95,0.95,0.95
Gallinula tenebrosa,20,0.95,0.95,0.95
wiltur,20,0.95,0.95,0.95
Corvus mellori,20,0.95,0.95,0.95
Coracina novaehollandiae,20,0.95,0.95,0.95
Accipiter cirrocephalus,20,0.95,0.95,0.95
Carterornis leucotis,20,0.9090909090909091,1.0,0.9523809523809523
Melithreptus gularis,20,0.9090909090909091,1.0,0.9523809523809523
Rhipidura rufifrons,20,0.9090909090909091,1.0,0.9523809523809523
Acanthiza nana,20,0.9090909090909091,1.0,0.9523809523809523
Carduelis carduelis,20,0.9090909090909091,1.0,0.9523809523809523
Falco cenchroides,11,1.0,0.9090909090909091,0.9523809523809523
Felis Catus,20,0.9090909090909091,1.0,0.9523809523809523
Corcorax melanorhamphos,13,1.0,0.9230769230769231,0.96
Symposiachrus trivirgatus,17,1.0,0.9411764705882353,0.9696969696969697
Calyptorhynchus lathami,18,1.0,0.9444444444444444,0.9714285714285714
Pitta iris,19,1.0,0.9473684210526315,0.972972972972973
Artamus minor,20,1.0,0.95,0.9743589743589743
Ramsayornis fasciatus,20,1.0,0.95,0.9743589743589743
spodov,20,1.0,0.95,0.9743589743589743
Dama Dama,20,1.0,0.95,0.9743589743589743
Acanthiza uropygialis,20,1.0,0.95,0.9743589743589743
Cincloramphus mathewsi,20,1.0,0.95,0.9743589743589743
Artamus cinereus,20,1.0,0.95,0.9743589743589743
Rhipidura rufiventris,20,1.0,0.95,0.9743589743589743
Platycercus elegans,20,1.0,0.95,0.9743589743589743
Alauda arvensis,20,1.0,0.95,0.9743589743589743
Barnardius zonarius,20,1.0,0.95,0.9743589743589743
Cophixalus exiguus,20,1.0,0.95,0.9743589743589743
Artamus cyanopterus,20,0.9523809523809523,1.0,0.975609756097561
Rattus Norvegicus,20,0.9523809523809523,1.0,0.975609756097561
Phylidonyris niger,20,0.9523809523809523,1.0,0.975609756097561
Plectorhyncha lanceolata,20,0.9523809523809523,1.0,0.975609756097561
Stomiopera unicolor,20,0.9523809523809523,1.0,0.975609756097561
Dasyurus maculatus,20,0.9523809523809523,1.0,0.975609756097561
Acanthiza lineata,20,0.9523809523809523,1.0,0.975609756097561
Vulpes vulpes,20,0.9523809523809523,1.0,0.975609756097561
Tregellasia capito,20,0.9523809523809523,1.0,0.975609756097561
Falco peregrinus,20,0.9523809523809523,1.0,0.975609756097561
Uperoleia mimula,20,0.9523809523809523,1.0,0.975609756097561
Scythrops novaehollandiae,10,1.0,1.0,1.0
Ptilinopus regina,8,1.0,1.0,1.0
Pycnoptilus floccosus,11,1.0,1.0,1.0
Uperoleia altissima,20,1.0,1.0,1.0
Trichosurus vulpecula,10,1.0,1.0,1.0
Ranoidea caerulea,14,1.0,1.0,1.0
Rhinella marina,18,1.0,1.0,1.0
Aidemosyne modesta,13,1.0,1.0,1.0
Antigone rubicunda,20,1.0,1.0,1.0
Strepera versicolor,20,1.0,1.0,1.0
Stizoptera bichenovii,20,1.0,1.0,1.0
Cygnus atratus,20,1.0,1.0,1.0
Callocephalon fimbriatum,20,1.0,1.0,1.0
Pitta versicolor,20,1.0,1.0,1.0
Dicaeum hirundinaceum,20,1.0,1.0,1.0
Egretta novaehollandiae,9,1.0,1.0,1.0
Elseyornis melanops,19,1.0,1.0,1.0
Coturnix pectoralis,16,1.0,1.0,1.0
Cophixalus ornatus,8,1.0,1.0,1.0
Cophixalus infacetus,20,1.0,1.0,1.0
Cisticola exilis,20,1.0,1.0,1.0
Gerygone mouki,20,1.0,1.0,1.0
Cinclosoma punctatum,20,1.0,1.0,1.0
Irediparra gallinacea,20,1.0,1.0,1.0
Litoria inermis,20,1.0,1.0,1.0
Ceyx azureus,8,1.0,1.0,1.0
Cervus Unicolour,15,1.0,1.0,1.0
Melithreptus lunatus,11,1.0,1.0,1.0
Nesoptilotis leucotis,15,1.0,1.0,1.0
Pachycephala simplex,6,1.0,1.0,1.0
Pardalotus rubricatus,20,1.0,1.0,1.0
Calyptorhynchus banksii,20,1.0,1.0,1.0
Pelecanus conspicillatus,8,1.0,1.0,1.0
Petrochelidon ariel,11,1.0,1.0,1.0
Petrochelidon nigricans,20,1.0,1.0,1.0
Petroica boodang,14,1.0,1.0,1.0
Petroica goodenovii,20,1.0,1.0,1.0
Petroica rosea,20,1.0,1.0,1.0
Pezoporus wallicus,20,1.0,1.0,1.0
Psophodes cristatus,20,1.0,1.0,1.0
Geopelia cuneata,4,1.0,1.0,1.0
